year,rgn_id,island,code,mus,family,species,licenses,catch
2012,2,Maui County,R,CHCRT,Mullidae,Weke a'a,8,1140
2013,2,Maui County,R,CHCRT,Mullidae,Weke a'a,7,1198
2014,2,Maui County,R,CHCRT,Mullidae,Weke a'a,4,366
2015,2,Maui County,R,CHCRT,Mullidae,Weke a'a,3,453
2016,2,Maui County,R,CHCRT,Mullidae,Weke a'a,4,559
2012,3,Oahu,R,CHCRT,Mullidae,Weke a'a,29,4924
2013,3,Oahu,R,CHCRT,Mullidae,Weke a'a,37,3337
2014,3,Oahu,R,CHCRT,Mullidae,Weke a'a,29,3948
2015,3,Oahu,R,CHCRT,Mullidae,Weke a'a,20,3264
2016,3,Oahu,R,CHCRT,Mullidae,Weke a'a,20,4789
2012,1,Hawaii,R,CHCRT,Mullidae,Weke nono,28,822
2013,1,Hawaii,R,CHCRT,Mullidae,Weke nono,35,644
2014,1,Hawaii,R,CHCRT,Mullidae,Weke nono,29,1041
2015,1,Hawaii,R,CHCRT,Mullidae,Weke nono,24,611
2016,1,Hawaii,R,CHCRT,Mullidae,Weke nono,35,848
2012,2,Maui County,R,CHCRT,Mullidae,Weke nono,27,1742
2013,2,Maui County,R,CHCRT,Mullidae,Weke nono,32,1572
2014,2,Maui County,R,CHCRT,Mullidae,Weke nono,28,667
2015,2,Maui County,R,CHCRT,Mullidae,Weke nono,26,1072
2016,2,Maui County,R,CHCRT,Mullidae,Weke nono,18,755
2012,3,Oahu,R,CHCRT,Mullidae,Weke nono,37,2971
2013,3,Oahu,R,CHCRT,Mullidae,Weke nono,37,2981
2014,3,Oahu,R,CHCRT,Mullidae,Weke nono,34,3546
2015,3,Oahu,R,CHCRT,Mullidae,Weke nono,36,2545
2016,3,Oahu,R,CHCRT,Mullidae,Weke nono,24,1615
2012,4,Kauai County,R,CHCRT,Mullidae,Weke nono,12,1502
2013,4,Kauai County,R,CHCRT,Mullidae,Weke nono,7,1198
2014,4,Kauai County,R,CHCRT,Mullidae,Weke nono,13,1477
2015,4,Kauai County,R,CHCRT,Mullidae,Weke nono,10,1540
2016,4,Kauai County,R,CHCRT,Mullidae,Weke nono,11,2026
2012,2,Penguin Bank,R,CHCRT,Mullidae,Weke nono,6,89
2013,2,Penguin Bank,R,CHCRT,Mullidae,Weke nono,10,133
2014,2,Penguin Bank,R,CHCRT,Mullidae,Weke nono,7,48
2015,2,Penguin Bank,R,CHCRT,Mullidae,Weke nono,8,102
2016,2,Penguin Bank,R,CHCRT,Mullidae,Weke nono,10,152
2013,1,Hawaii,R,CHCRT,Mullidae,Weke pueo,4,31
2013,2,Maui County,R,CHCRT,Mullidae,Weke pueo,4,147
2013,3,Oahu,R,CHCRT,Mullidae,Weke pueo,5,203
2012,1,Hawaii,R,CHCRT,Mullidae,Weke ula,36,439
2013,1,Hawaii,R,CHCRT,Mullidae,Weke ula,28,420
2014,1,Hawaii,R,CHCRT,Mullidae,Weke ula,27,784
2015,1,Hawaii,R,CHCRT,Mullidae,Weke ula,21,477
2016,1,Hawaii,R,CHCRT,Mullidae,Weke ula,24,1017
2012,2,Maui County,R,CHCRT,Mullidae,Weke ula,13,4314
2013,2,Maui County,R,CHCRT,Mullidae,Weke ula,8,1670
2014,2,Maui County,R,CHCRT,Mullidae,Weke ula,9,5284
2015,2,Maui County,R,CHCRT,Mullidae,Weke ula,10,7111
2016,2,Maui County,R,CHCRT,Mullidae,Weke ula,10,3124
2012,3,Oahu,R,CHCRT,Mullidae,Weke ula,47,17576
2013,3,Oahu,R,CHCRT,Mullidae,Weke ula,46,22415
2014,3,Oahu,R,CHCRT,Mullidae,Weke ula,43,40946
2015,3,Oahu,R,CHCRT,Mullidae,Weke ula,39,42632
2016,3,Oahu,R,CHCRT,Mullidae,Weke ula,33,29670
2012,4,Kauai County,R,CHCRT,Mullidae,Weke ula,15,420
2013,4,Kauai County,R,CHCRT,Mullidae,Weke ula,11,429
2014,4,Kauai County,R,CHCRT,Mullidae,Weke ula,8,204
2015,4,Kauai County,R,CHCRT,Mullidae,Weke ula,6,63
2016,4,Kauai County,R,CHCRT,Mullidae,Weke ula,8,1038
2014,2,Penguin Bank,R,CHCRT,Mullidae,Weke ula,3,31
2012,3,Oahu,R,CHCRT,Muraenidae,Puhi black,7,1134
2013,3,Oahu,R,CHCRT,Muraenidae,Puhi black,4,1023
2014,3,Oahu,R,CHCRT,Muraenidae,Puhi black,3,520
2015,3,Oahu,R,CHCRT,Muraenidae,Puhi black,5,267
2016,3,Oahu,R,CHCRT,Muraenidae,Puhi black,4,434
2013,1,Hawaii,R,CHCRT,Muraenidae,Puhi eel-misc.,3,338
2012,3,Oahu,R,CHCRT,Muraenidae,Puhi eel-misc.,6,160
2013,3,Oahu,R,CHCRT,Muraenidae,Puhi eel-misc.,4,291
2014,3,Oahu,R,CHCRT,Muraenidae,Puhi eel-misc.,5,565
2015,3,Oahu,R,CHCRT,Muraenidae,Puhi eel-misc.,4,235
2016,3,Oahu,R,CHCRT,Muraenidae,Puhi eel-misc.,5,166
2014,1,Hawaii,R,CHCRT,Polynemidae,Moi,4,34
2015,1,Hawaii,R,CHCRT,Polynemidae,Moi,5,173
2012,2,Maui County,R,CHCRT,Polynemidae,Moi,3,124
2014,2,Maui County,R,CHCRT,Polynemidae,Moi,3,32
2016,2,Maui County,R,CHCRT,Polynemidae,Moi,3,27
2012,3,Oahu,R,CHCRT,Polynemidae,Moi,10,156
2013,3,Oahu,R,CHCRT,Polynemidae,Moi,8,44
2014,3,Oahu,R,CHCRT,Polynemidae,Moi,7,75
2015,3,Oahu,R,CHCRT,Polynemidae,Moi,6,89
2016,3,Oahu,R,CHCRT,Polynemidae,Moi,5,137
2016,4,Kauai County,R,CHCRT,Polynemidae,Moi,3,137
2012,1,Hawaii,R,PHCRT,Pomacentridae,Kupipi,5,24
2014,1,Hawaii,R,PHCRT,Pomacentridae,Kupipi,4,77
2012,2,Maui County,R,PHCRT,Pomacentridae,Kupipi,5,121
2013,3,Oahu,R,PHCRT,Pomacentridae,Kupipi,3,5
2012,1,Hawaii,R,PHCRT,Pomacentridae,Maomao,5,11
2012,2,Maui County,R,PHCRT,Pomacentridae,Maomao,4,1773
2013,2,Maui County,R,PHCRT,Pomacentridae,Maomao,4,672
2014,2,Maui County,R,PHCRT,Pomacentridae,Maomao,3,235
2015,2,Maui County,R,PHCRT,Pomacentridae,Maomao,3,464
2012,3,Oahu,R,PHCRT,Pomacentridae,Maomao,22,1110
2013,3,Oahu,R,PHCRT,Pomacentridae,Maomao,20,1465
2014,3,Oahu,R,PHCRT,Pomacentridae,Maomao,18,645
2015,3,Oahu,R,PHCRT,Pomacentridae,Maomao,16,367
2016,3,Oahu,R,PHCRT,Pomacentridae,Maomao,14,259
2012,1,Hawaii,R,CHCRT,Priacanthidae,Aweoweo,56,1651
2013,1,Hawaii,R,CHCRT,Priacanthidae,Aweoweo,56,2654
2014,1,Hawaii,R,CHCRT,Priacanthidae,Aweoweo,57,3086
2015,1,Hawaii,R,CHCRT,Priacanthidae,Aweoweo,45,3939
2016,1,Hawaii,R,CHCRT,Priacanthidae,Aweoweo,39,2568
2012,2,Maui County,R,CHCRT,Priacanthidae,Aweoweo,14,168
2013,2,Maui County,R,CHCRT,Priacanthidae,Aweoweo,14,248
2014,2,Maui County,R,CHCRT,Priacanthidae,Aweoweo,15,201
2015,2,Maui County,R,CHCRT,Priacanthidae,Aweoweo,16,493
2016,2,Maui County,R,CHCRT,Priacanthidae,Aweoweo,12,447
2012,3,Oahu,R,CHCRT,Priacanthidae,Aweoweo,37,843
2013,3,Oahu,R,CHCRT,Priacanthidae,Aweoweo,48,1764
2014,3,Oahu,R,CHCRT,Priacanthidae,Aweoweo,50,1700
2015,3,Oahu,R,CHCRT,Priacanthidae,Aweoweo,47,2274
2016,3,Oahu,R,CHCRT,Priacanthidae,Aweoweo,35,1556
2012,4,Kauai County,R,CHCRT,Priacanthidae,Aweoweo,15,244
2013,4,Kauai County,R,CHCRT,Priacanthidae,Aweoweo,13,438
2014,4,Kauai County,R,CHCRT,Priacanthidae,Aweoweo,18,999
2015,4,Kauai County,R,CHCRT,Priacanthidae,Aweoweo,19,540
2016,4,Kauai County,R,CHCRT,Priacanthidae,Aweoweo,17,546
2012,2,Penguin Bank,R,CHCRT,Priacanthidae,Aweoweo,5,106
2013,2,Penguin Bank,R,CHCRT,Priacanthidae,Aweoweo,12,83
2014,2,Penguin Bank,R,CHCRT,Priacanthidae,Aweoweo,9,79
2015,2,Penguin Bank,R,CHCRT,Priacanthidae,Aweoweo,6,56
2016,2,Penguin Bank,R,CHCRT,Priacanthidae,Aweoweo,6,103
2012,1,Hawaii,R,PHCRT,Priacanthidae,Aweoweo (deepsea),9,50
2013,1,Hawaii,R,PHCRT,Priacanthidae,Aweoweo (deepsea),6,27
2014,1,Hawaii,R,PHCRT,Priacanthidae,Aweoweo (deepsea),14,130
2015,1,Hawaii,R,PHCRT,Priacanthidae,Aweoweo (deepsea),3,50
2012,2,Maui County,R,PHCRT,Priacanthidae,Aweoweo (deepsea),4,47
2015,2,Maui County,R,PHCRT,Priacanthidae,Aweoweo (deepsea),4,72
2016,2,Maui County,R,PHCRT,Priacanthidae,Aweoweo (deepsea),5,42
2012,2,Penguin Bank,R,PHCRT,Priacanthidae,Aweoweo (deepsea),8,25
2013,2,Penguin Bank,R,PHCRT,Priacanthidae,Aweoweo (deepsea),9,45
2014,2,Penguin Bank,R,PHCRT,Priacanthidae,Aweoweo (deepsea),11,103
2015,2,Penguin Bank,R,PHCRT,Priacanthidae,Aweoweo (deepsea),6,48
2016,2,Penguin Bank,R,PHCRT,Priacanthidae,Aweoweo (deepsea),6,53
2012,3,Oahu,R,PHCRT,Priacanthidae,Aweoweo (deepsea),3,20
2013,3,Oahu,R,PHCRT,Priacanthidae,Aweoweo (deepsea),4,55
2014,3,Oahu,R,PHCRT,Priacanthidae,Aweoweo (deepsea),3,117
2015,3,Oahu,R,PHCRT,Priacanthidae,Aweoweo (deepsea),6,131
2016,3,Oahu,R,PHCRT,Priacanthidae,Aweoweo (deepsea),7,78
2013,4,Kauai County,R,PHCRT,Priacanthidae,Aweoweo (deepsea),3,13
2015,4,Kauai County,R,PHCRT,Priacanthidae,Aweoweo (deepsea),3,16
2016,4,Kauai County,R,PHCRT,Priacanthidae,Aweoweo (deepsea),3,31
2012,1,Hawaii,R,CHCRT,Scaridae,Panuhunuhu,3,12
2013,1,Hawaii,R,CHCRT,Scaridae,Panuhunuhu,3,11
2014,1,Hawaii,R,CHCRT,Scaridae,Panuhunuhu,4,69
2012,3,Oahu,R,CHCRT,Scaridae,Panuhunuhu,10,101
2013,3,Oahu,R,CHCRT,Scaridae,Panuhunuhu,14,153
2014,3,Oahu,R,CHCRT,Scaridae,Panuhunuhu,12,171
2015,3,Oahu,R,CHCRT,Scaridae,Panuhunuhu,13,146
2016,3,Oahu,R,CHCRT,Scaridae,Panuhunuhu,4,103
2015,1,Hawaii,R,CHCRT,Scaridae,Panunu,4,11
2012,3,Oahu,R,CHCRT,Scaridae,Panunu,8,302
2013,3,Oahu,R,CHCRT,Scaridae,Panunu,10,181
2014,3,Oahu,R,CHCRT,Scaridae,Panunu,9,460
2015,3,Oahu,R,CHCRT,Scaridae,Panunu,8,494
2016,3,Oahu,R,CHCRT,Scaridae,Panunu,6,150
2012,1,Hawaii,R,CHCRT,Scaridae,Uhu parrot-misc.,38,14003
2013,1,Hawaii,R,CHCRT,Scaridae,Uhu parrot-misc.,24,7611
2014,1,Hawaii,R,CHCRT,Scaridae,Uhu parrot-misc.,25,2812
2015,1,Hawaii,R,CHCRT,Scaridae,Uhu parrot-misc.,16,4119
2016,1,Hawaii,R,CHCRT,Scaridae,Uhu parrot-misc.,17,3294
2012,2,Maui County,R,CHCRT,Scaridae,Uhu parrot-misc.,25,14556
2013,2,Maui County,R,CHCRT,Scaridae,Uhu parrot-misc.,10,11126
2014,2,Maui County,R,CHCRT,Scaridae,Uhu parrot-misc.,13,8341
2015,2,Maui County,R,CHCRT,Scaridae,Uhu parrot-misc.,7,1762
2016,2,Maui County,R,CHCRT,Scaridae,Uhu parrot-misc.,10,2319
2012,3,Oahu,R,CHCRT,Scaridae,Uhu parrot-misc.,56,53864
2013,3,Oahu,R,CHCRT,Scaridae,Uhu parrot-misc.,58,55115
2014,3,Oahu,R,CHCRT,Scaridae,Uhu parrot-misc.,49,56044
2015,3,Oahu,R,CHCRT,Scaridae,Uhu parrot-misc.,42,26341
2016,3,Oahu,R,CHCRT,Scaridae,Uhu parrot-misc.,32,17966
2012,4,Kauai County,R,CHCRT,Scaridae,Uhu parrot-misc.,4,1506
2014,4,Kauai County,R,CHCRT,Scaridae,Uhu parrot-misc.,4,1820
2015,4,Kauai County,R,CHCRT,Scaridae,Uhu parrot-misc.,7,766
2016,4,Kauai County,R,CHCRT,Scaridae,Uhu parrot-misc.,4,1346
2012,1,Hawaii,R,PHCRT,Scorpaenidae,Hogo,28,282
2013,1,Hawaii,R,PHCRT,Scorpaenidae,Hogo,30,511
2014,1,Hawaii,R,PHCRT,Scorpaenidae,Hogo,27,338
2015,1,Hawaii,R,PHCRT,Scorpaenidae,Hogo,22,237
2016,1,Hawaii,R,PHCRT,Scorpaenidae,Hogo,19,106
2012,2,Maui County,R,PHCRT,Scorpaenidae,Hogo,22,279
2013,2,Maui County,R,PHCRT,Scorpaenidae,Hogo,14,214
2014,2,Maui County,R,PHCRT,Scorpaenidae,Hogo,15,222
2015,2,Maui County,R,PHCRT,Scorpaenidae,Hogo,11,164
2016,2,Maui County,R,PHCRT,Scorpaenidae,Hogo,12,247
2012,2,Penguin Bank,R,PHCRT,Scorpaenidae,Hogo,36,647
2013,2,Penguin Bank,R,PHCRT,Scorpaenidae,Hogo,36,620
2014,2,Penguin Bank,R,PHCRT,Scorpaenidae,Hogo,26,507
2015,2,Penguin Bank,R,PHCRT,Scorpaenidae,Hogo,22,381
2016,2,Penguin Bank,R,PHCRT,Scorpaenidae,Hogo,20,311
2012,3,Oahu,R,PHCRT,Scorpaenidae,Hogo,30,510
2013,3,Oahu,R,PHCRT,Scorpaenidae,Hogo,21,214
2014,3,Oahu,R,PHCRT,Scorpaenidae,Hogo,22,193
2015,3,Oahu,R,PHCRT,Scorpaenidae,Hogo,20,347
2016,3,Oahu,R,PHCRT,Scorpaenidae,Hogo,17,361
2012,4,Kauai County,R,PHCRT,Scorpaenidae,Hogo,19,245
2013,4,Kauai County,R,PHCRT,Scorpaenidae,Hogo,10,191
2014,4,Kauai County,R,PHCRT,Scorpaenidae,Hogo,14,240
2015,4,Kauai County,R,PHCRT,Scorpaenidae,Hogo,14,373
2016,4,Kauai County,R,PHCRT,Scorpaenidae,Hogo,17,362
2012,1,Hawaii,R,PHCRT,Scorpaenidae,Nohu,18,421
2013,1,Hawaii,R,PHCRT,Scorpaenidae,Nohu,12,245
2014,1,Hawaii,R,PHCRT,Scorpaenidae,Nohu,11,175
2015,1,Hawaii,R,PHCRT,Scorpaenidae,Nohu,11,523
2016,1,Hawaii,R,PHCRT,Scorpaenidae,Nohu,9,346
2012,2,Maui County,R,PHCRT,Scorpaenidae,Nohu,9,1047
2013,2,Maui County,R,PHCRT,Scorpaenidae,Nohu,7,393
2014,2,Maui County,R,PHCRT,Scorpaenidae,Nohu,8,237
2015,2,Maui County,R,PHCRT,Scorpaenidae,Nohu,5,557
2016,2,Maui County,R,PHCRT,Scorpaenidae,Nohu,4,466
2012,3,Oahu,R,PHCRT,Scorpaenidae,Nohu,12,378
2013,3,Oahu,R,PHCRT,Scorpaenidae,Nohu,16,423
2014,3,Oahu,R,PHCRT,Scorpaenidae,Nohu,13,185
2015,3,Oahu,R,PHCRT,Scorpaenidae,Nohu,6,71
2016,3,Oahu,R,PHCRT,Scorpaenidae,Nohu,3,126
2012,1,Hawaii,R,PHCRT,Serranidae,Roi,4,131
2012,2,Maui County,R,PHCRT,Serranidae,Roi,15,1516
2013,2,Maui County,R,PHCRT,Serranidae,Roi,14,979
2014,2,Maui County,R,PHCRT,Serranidae,Roi,5,382
2015,2,Maui County,R,PHCRT,Serranidae,Roi,5,343
2016,2,Maui County,R,PHCRT,Serranidae,Roi,4,1380
2012,3,Oahu,R,PHCRT,Serranidae,Roi,24,2930
2013,3,Oahu,R,PHCRT,Serranidae,Roi,23,2015
2014,3,Oahu,R,PHCRT,Serranidae,Roi,16,782
2015,3,Oahu,R,PHCRT,Serranidae,Roi,20,572
2016,3,Oahu,R,PHCRT,Serranidae,Roi,13,436
2012,1,Hawaii,R,CHCRT,Sphyraenidae,Kaku,19,303
2013,1,Hawaii,R,CHCRT,Sphyraenidae,Kaku,25,399
2014,1,Hawaii,R,CHCRT,Sphyraenidae,Kaku,28,470
2015,1,Hawaii,R,CHCRT,Sphyraenidae,Kaku,36,325
2016,1,Hawaii,R,CHCRT,Sphyraenidae,Kaku,20,238
2012,2,Cross Seamount,R,CHCRT,Sphyraenidae,Kaku,3,272
2013,2,Cross Seamount,R,CHCRT,Sphyraenidae,Kaku,5,737
2015,2,Cross Seamount,R,CHCRT,Sphyraenidae,Kaku,4,465
2012,2,Maui County,R,CHCRT,Sphyraenidae,Kaku,16,223
2013,2,Maui County,R,CHCRT,Sphyraenidae,Kaku,14,262
2014,2,Maui County,R,CHCRT,Sphyraenidae,Kaku,14,248
2015,2,Maui County,R,CHCRT,Sphyraenidae,Kaku,25,262
2016,2,Maui County,R,CHCRT,Sphyraenidae,Kaku,17,196
2012,3,Oahu,R,CHCRT,Sphyraenidae,Kaku,45,1037
2013,3,Oahu,R,CHCRT,Sphyraenidae,Kaku,45,520
2014,3,Oahu,R,CHCRT,Sphyraenidae,Kaku,30,569
2015,3,Oahu,R,CHCRT,Sphyraenidae,Kaku,35,438
2016,3,Oahu,R,CHCRT,Sphyraenidae,Kaku,20,214
2012,4,Kauai County,R,CHCRT,Sphyraenidae,Kaku,16,747
2013,4,Kauai County,R,CHCRT,Sphyraenidae,Kaku,16,496
2014,4,Kauai County,R,CHCRT,Sphyraenidae,Kaku,19,433
2015,4,Kauai County,R,CHCRT,Sphyraenidae,Kaku,14,465
2016,4,Kauai County,R,CHCRT,Sphyraenidae,Kaku,7,111
2012,2,Penguin Bank,R,CHCRT,Sphyraenidae,Kaku,13,156
2013,2,Penguin Bank,R,CHCRT,Sphyraenidae,Kaku,7,72
2014,2,Penguin Bank,R,CHCRT,Sphyraenidae,Kaku,6,103
2015,2,Penguin Bank,R,CHCRT,Sphyraenidae,Kaku,10,157
2016,2,Penguin Bank,R,CHCRT,Sphyraenidae,Kaku,15,148
2012,1,Hawaii,R,CHCRT,Sphyraenidae,Kawelea,36,867
2013,1,Hawaii,R,CHCRT,Sphyraenidae,Kawelea,45,908
2014,1,Hawaii,R,CHCRT,Sphyraenidae,Kawelea,34,919
2015,1,Hawaii,R,CHCRT,Sphyraenidae,Kawelea,30,1735
2016,1,Hawaii,R,CHCRT,Sphyraenidae,Kawelea,32,830
2012,2,Maui County,R,CHCRT,Sphyraenidae,Kawelea,18,722
2013,2,Maui County,R,CHCRT,Sphyraenidae,Kawelea,11,344
2014,2,Maui County,R,CHCRT,Sphyraenidae,Kawelea,18,199
2015,2,Maui County,R,CHCRT,Sphyraenidae,Kawelea,16,356
2016,2,Maui County,R,CHCRT,Sphyraenidae,Kawelea,12,174
2012,3,Oahu,R,CHCRT,Sphyraenidae,Kawelea,31,1548
2013,3,Oahu,R,CHCRT,Sphyraenidae,Kawelea,29,1126
2014,3,Oahu,R,CHCRT,Sphyraenidae,Kawelea,29,549
2015,3,Oahu,R,CHCRT,Sphyraenidae,Kawelea,24,1251
2016,3,Oahu,R,CHCRT,Sphyraenidae,Kawelea,16,512
2012,4,Kauai County,R,CHCRT,Sphyraenidae,Kawelea,11,143
2013,4,Kauai County,R,CHCRT,Sphyraenidae,Kawelea,3,12
2014,4,Kauai County,R,CHCRT,Sphyraenidae,Kawelea,7,93
2015,4,Kauai County,R,CHCRT,Sphyraenidae,Kawelea,6,77
2016,4,Kauai County,R,CHCRT,Sphyraenidae,Kawelea,3,20
2012,2,Penguin Bank,R,CHCRT,Sphyraenidae,Kawelea,4,61
2013,2,Penguin Bank,R,CHCRT,Sphyraenidae,Kawelea,7,227
2014,2,Penguin Bank,R,CHCRT,Sphyraenidae,Kawelea,5,44
2015,2,Penguin Bank,R,CHCRT,Sphyraenidae,Kawelea,5,168
2016,2,Penguin Bank,R,CHCRT,Sphyraenidae,Kawelea,7,109
